{3}	{8,6,16}	5.40	18.00
{16}	{8,3,6}	5.40	12.74
{8}	{3,6,16}	5.40	11.95
{6}	{8,3,16}	5.40	23.89
{3,16}	{8,6}	5.40	21.43
{8,3}	{6,16}	5.40	20.93
{3,6}	{8,16}	5.40	87.10
{8,16}	{3,6}	5.40	17.88
{6,16}	{8,3}	5.40	50.00
{8,6}	{3,16}	5.40	42.86
{8,3,16}	{6}	5.40	22.50
{3,6,16}	{8}	5.40	96.43
{8,3,6}	{16}	5.40	96.43
{8,6,16}	{3}	5.40	71.05
{3}	{9,8,16}	7.20	24.00
{16}	{9,8,3}	7.20	16.98
{9}	{8,3,16}	7.20	25.90
{8}	{9,3,16}	7.20	15.93
{3,16}	{9,8}	7.20	28.57
{9,3}	{8,16}	7.20	76.60
{8,3}	{9,16}	7.20	27.91
{9,16}	{8,3}	7.20	54.55
{8,16}	{9,3}	7.20	23.84
{9,8}	{3,16}	7.20	52.17
{9,3,16}	{8}	7.20	97.30
{8,3,16}	{9}	7.20	30.00
{9,8,3}	{16}	7.20	87.80
{9,8,16}	{3}	7.20	80.00
